player,EScore,EType,PlayStyle,SessionVariance,RecentActivityRatio,Loyalty,UserValue,EScoreRank
1002129,74.50,Hardcore,Balance,35.92,0.41,22.38,Low,1
1002274,74.03,Hardcore,Balance,33.27,0.50,18.34,Low,2
1002393,71.53,Hardcore,Balance,23.65,0.44,22.26,Low,3
1002652,71.04,Hardcore,Balance,22.26,0.42,20.33,Low,4
1002353,70.76,Hardcore,Balance,29.65,0.47,19.95,Low,5
1002095,68.75,Hardcore,Balance,27.52,0.47,19.77,Low,6
1002593,68.21,Hardcore,Balance,34.09,0.44,20.17,Low,7
1002207,67.99,Hardcore,Balance,31,0.44,24.42,Low,8
1002132,67.90,Hardcore,Balance,31.23,0.48,18.99,Low,9
1002206,66.80,Hardcore,Burst,18.84,0.45,17.33,Low,10
1002337,66.73,Hardcore,Balance,34.63,0.42,19.78,Low,11
1002352,66.46,Hardcore,Balance,27.1,0.49,22.57,Low,12
1002658,66.15,Hardcore,Balance,27.65,0.46,21.25,Low,13
1002407,66.02,Hardcore,Balance,40.42,0.46,23.32,Low,14
1002105,66.01,Hardcore,Balance,39.57,0.42,20.01,Low,15
1002615,65.90,Hardcore,Balance,33.62,0.49,20.57,Low,16
1002564,65.80,Hardcore,Balance,39.07,0.45,23.11,Low,17
1002005,65.79,Hardcore,Balance,33.55,0.40,25.74,Low,18
1002348,65.72,Hardcore,Balance,33.62,0.49,22.59,Low,19
1002705,65.36,Hardcore,Balance,26.68,0.39,21.64,Low,20
1002302,65.25,Hardcore,Balance,47.13,0.50,30.85,Medium,21
1002441,65.16,Hardcore,Burst,23,0.50,18.38,Low,22
1002121,64.80,Hardcore,Balance,35.37,0.47,23.93,Low,23
1002497,64.72,Hardcore,Balance,38.05,0.47,20.25,Low,24
1002445,64.34,Hardcore,Burst,28,0.45,17.83,Low,25
1002359,64.09,Hardcore,Balance,29.19,0.46,21.18,Low,26
1002691,63.91,Hardcore,Balance,28.35,0.52,23.85,Low,27
1002492,63.66,Hardcore,Balance,29.26,0.35,21.79,Low,28
1002258,63.63,Hardcore,Burst,16.29,0.39,17.97,Low,29
1002450,63.50,Hardcore,Balance,16.85,0.48,19.32,Low,30
1002017,63.42,Hardcore,Burst,28.75,0.41,18.38,Low,31
1002798,63.31,Hardcore,Balance,33.64,0.45,22.40,Low,32
1002223,63.23,Hardcore,Balance,49.83,0.47,20.54,Low,33
1002097,63.17,Hardcore,Burst,25.15,0.52,17.67,Low,34
1002057,62.96,Hardcore,Balance,28.83,0.42,20.78,Low,35
1002847,62.95,Hardcore,Balance,29.41,0.53,19.06,Low,36
1002060,62.86,Hardcore,Balance,26.08,0.38,20.54,Low,37
1002350,62.82,Hardcore,Balance,22.92,0.36,21.06,Low,38
1002099,62.82,Hardcore,Balance,36.21,0.48,26.06,Low,39
1002101,62.79,Hardcore,Balance,33.69,0.44,21.14,Low,40
1002871,62.77,Hardcore,Burst,23.75,0.50,17.51,Low,41
1002360,62.67,Hardcore,Balance,32.47,0.42,24.37,Low,42
1002517,62.65,Hardcore,Balance,51.34,0.48,52.72,High,43
1002624,62.46,Hardcore,Balance,30.43,0.50,24.86,Low,44
1002882,62.45,Hardcore,Balance,25.05,0.43,23.50,Low,45
1002577,62.44,Hardcore,Balance,31.74,0.53,20.95,Low,46
1002214,62.34,Hardcore,Balance,36.02,0.39,18.31,Low,47
1002394,61.95,Hardcore,Balance,30.52,0.35,19.43,Low,48
1002048,61.87,Hardcore,Balance,36.96,0.36,23.41,Low,49
1002559,61.82,Hardcore,Balance,47.12,0.47,29.56,Medium,50
1002377,61.80,Hardcore,Balance,41.63,0.43,30.40,Medium,51
1002382,61.77,Hardcore,Balance,51.15,0.50,56.15,High,52
1002447,61.74,Hardcore,Balance,29.56,0.47,20.19,Low,53
1002635,61.35,Hardcore,Burst,20.8,0.45,18.55,Low,54
1002380,61.35,Hardcore,Balance,37.27,0.42,28.02,Low,55
1002187,61.30,Hardcore,Burst,26.85,0.45,17.69,Low,56
1002195,61.29,Hardcore,Burst,25.13,0.55,18.64,Low,57
1002226,61.22,Hardcore,Balance,14.8,0.48,19.19,Low,58
1002553,61.16,Hardcore,Balance,41.4,0.42,24.55,Low,59
1002504,60.99,Hardcore,Balance,44.4,0.50,29.83,Medium,60
1002312,60.92,Hardcore,Balance,39.99,0.54,42.24,Medium,61
1002594,60.91,Hardcore,Burst,23.08,0.48,16.85,Low,62
1002370,60.91,Hardcore,Balance,47.08,0.47,45.41,High,63
1002244,60.90,Hardcore,Balance,34.4,0.50,22.47,Low,64
1002573,60.86,Hardcore,Balance,42.76,0.47,48.53,High,65
1002640,60.71,Hardcore,Balance,37.33,0.56,18.46,Low,66
1002463,60.71,Hardcore,Balance,49.03,0.50,44.27,Medium,67
1002804,60.67,Hardcore,Burst,26.35,0.48,16.57,Low,68
1002215,60.64,Hardcore,Balance,27.41,0.49,20.09,Low,69
1002218,60.61,Hardcore,Balance,28.09,0.48,22.69,Low,70
1002114,60.61,Hardcore,Burst,22.35,0.54,17.52,Low,71
1002597,60.60,Hardcore,Balance,34.55,0.43,22.58,Low,72
1002197,60.54,Hardcore,Balance,40.8,0.47,24.04,Low,73
1002845,60.53,Hardcore,Balance,29.6,0.46,22.99,Low,74
1002210,60.52,Hardcore,Burst,28.13,0.50,16.60,Low,75
1002225,60.45,Hardcore,Balance,29.45,0.43,25.15,Low,76
1002260,60.34,Hardcore,Balance,18.43,0.50,19.65,Low,77
1002125,60.26,Hardcore,Balance,37.2,0.37,32.86,Medium,78
1002419,60.20,Hardcore,Balance,31.01,0.46,21.94,Low,79
