Player,Pos,School,Round,updated_round,Drafted,Year,qb_stats_clean1.G,qb_stats_clean1.Cmp,qb_stats_clean1.Att,qb_stats_clean1.Yds,qb_stats_clean1.TD,qb_stats_clean1.Int
Kyle McCord,QB,Syracuse,6,6,1,2025,13,391,592,4779,34,12
Cameron Ward,QB,Miami,1,1,1,2025,13,305,454,4313,39,7
Jaxson Dart,QB,Mississippi,1,1,1,2025,13,276,398,4279,29,6
Shedeur Sanders,QB,Colorado,5,5,1,2025,13,353,477,4134,37,10
Will Howard,QB,Ohio St.,6,6,1,2025,16,309,423,4010,35,10
Dillon Gabriel,QB,Oregon,3,3,1,2025,14,326,447,3857,30,6
Seth Henigan,QB,Memphis,,0,0,2025,13,309,477,3502,25,6
Quinn Ewers,QB,Texas,7,7,1,2025,14,293,445,3472,31,12
Tyler Shough,QB,Louisville,2,2,1,2025,12,244,389,3195,23,6
Kurtis Rourke,QB,Indiana,7,7,1,2025,12,222,320,3042,29,5
Riley Leonard,QB,Notre Dame,6,6,1,2025,16,269,403,2861,21,8
Jalen Milroe,QB,Alabama,3,3,1,2025,13,205,319,2844,16,11
Max Brosmer,QB,Minnesota,,0,0,2025,13,268,403,2828,18,6
Brady Cook,QB,Missouri,,0,0,2025,12,201,321,2535,11,2
Graham Mertz,QB,Florida,6,6,1,2025,5,72,94,791,6,2
Michael Penix Jr.,QB,Washington,1,1,1,2024,15,363,555,4903,36,11
Bo Nix,QB,Oregon,1,1,1,2024,14,364,470,4508,45,3
Jayden Daniels,QB,LSU,1,1,1,2024,12,236,327,3812,40,4
Caleb Williams,QB,USC,1,1,1,2024,12,266,388,3633,30,5
Drake Maye,QB,North Carolina,1,1,1,2024,12,269,425,3608,24,9
Austin Reed,QB,Western Kentucky,,0,0,2024,12,289,470,3340,31,11
Spencer Rattler,QB,South Carolina,5,5,1,2024,12,275,399,3186,19,8
J.J. McCarthy,QB,Michigan,1,1,1,2024,15,240,332,2991,22,4
Joe Milton,QB,Tennessee,6,6,1,2024,12,229,354,2813,20,5
Jordan Travis,QB,Florida St.,5,5,1,2024,11,207,324,2756,20,2
Devin Leary,QB,Kentucky,6,6,1,2024,13,209,371,2746,25,12
Sam Hartman,QB,Notre Dame,,0,0,2024,12,191,301,2689,24,8
Michael Pratt,QB,Tulane,7,7,1,2024,11,185,283,2406,22,5
Kedon Slovis,QB,BYU,,0,0,2024,8,153,266,1716,12,6
Stetson Bennett,QB,Georgia,4,4,1,2023,15,310,454,4128,27,7
