date,demand
2022-01-01,104.0
2022-01-02,145.0
2022-01-03,138.0
2022-01-04,105.0
2022-01-05,109.0
2022-01-06,137.0
2022-01-07,79.0
2022-01-08,120.0
2022-01-09,156.0
2022-01-10,127.0
2022-01-11,124.0
2022-01-12,123.0
2022-01-13,141.0
2022-01-14,112.0
2022-01-15,126.0
2022-01-16,137.0
2022-01-17,180.0
2022-01-18,173.0
2022-01-19,145.0
2022-01-20,130.0
2022-01-21,138.0
2022-01-22,161.0
2022-01-23,136.0
2022-01-24,171.0
2022-01-25,128.0
2022-01-26,127.0
2022-01-27,143.0
2022-01-28,143.0
2022-01-29,143.0
2022-01-30,143.0
2022-01-31,156.0
2022-02-01,111.0
2022-02-02,116.0
2022-02-03,125.0
2022-02-04,153.0
2022-02-05,148.0
2022-02-06,163.0
2022-02-07,177.0
2022-02-08,147.0
2022-02-09,153.0
2022-02-10,130.0
2022-02-11,119.0
2022-02-12,151.0
2022-02-13,178.0
2022-02-14,178.0
2022-02-15,166.0
2022-02-16,190.0
2022-02-17,154.0
2022-02-18,166.0
2022-02-19,197.0
2022-02-20,156.0
2022-02-21,164.0
2022-02-22,199.0
2022-02-23,148.0
2022-02-24,153.0
2022-02-25,168.0
2022-02-26,183.0
2022-02-27,195.5
2022-02-28,208.0
2022-03-01,194.0
2022-03-02,154.0
2022-03-03,170.0
2022-03-04,162.5
2022-03-05,155.0
2022-03-06,209.0
2022-03-07,197.0
2022-03-08,185.0
2022-03-09,168.0
2022-03-10,146.0
2022-03-11,170.0
2022-03-12,188.0
2022-03-13,181.0
2022-03-14,215.0
2022-03-15,173.0
2022-03-16,145.0
2022-03-17,184.0
2022-03-18,166.0
2022-03-19,184.0
2022-03-20,187.0
2022-03-21,179.0
2022-03-22,214.0
2022-03-23,171.0
2022-03-24,198.0
2022-03-25,189.0
2022-03-26,186.0
2022-03-27,188.0
2022-03-28,197.0
2022-03-29,182.0
2022-03-30,217.0
2022-03-31,180.0
2022-04-01,199.0
2022-04-02,176.0
2022-04-03,212.0
2022-04-04,231.0
2022-04-05,200.0
2022-04-06,206.0
2022-04-07,165.0
2022-04-08,165.0
2022-04-09,205.0
2022-04-10,208.0
2022-04-11,227.0
2022-04-12,179.0
2022-04-13,205.0
2022-04-14,224.0
2022-04-15,189.0
2022-04-16,204.0
2022-04-17,221.0
2022-04-18,194.0
2022-04-19,219.0
2022-04-20,174.0
2022-04-21,182.0
2022-04-22,211.0
2022-04-23,196.0
2022-04-24,229.0
2022-04-25,241.0
2022-04-26,220.0
2022-04-27,203.0
2022-04-28,186.0
2022-04-29,225.0
2022-04-30,180.0
2022-05-01,221.0
2022-05-02,221.0
2022-05-03,221.0
2022-05-04,215.0
2022-05-05,218.0
2022-05-06,193.0
2022-05-07,225.0
2022-05-08,235.0
2022-05-09,239.0
2022-05-10,213.0
2022-05-11,191.0
2022-05-12,179.0
2022-05-13,188.0
2022-05-14,220.0
2022-05-15,242.0
2022-05-16,229.0
2022-05-17,216.0
2022-05-18,234.0
2022-05-19,220.0
2022-05-20,212.0
2022-05-21,204.0
2022-05-22,234.0
2022-05-23,255.0
2022-05-24,231.0
2022-05-25,217.0
2022-05-26,195.0
2022-05-27,209.0
2022-05-28,241.0
2022-05-29,230.0
2022-05-30,240.0
2022-05-31,231.0
2022-06-01,204.5
2022-06-02,178.0
2022-06-03,175.0
2022-06-04,204.0
2022-06-05,238.0
2022-06-06,248.0
2022-06-07,220.0
2022-06-08,208.5
2022-06-09,197.0
2022-06-10,204.0
2022-06-11,217.0
2022-06-12,238.0
2022-06-13,238.5
2022-06-14,239.0
2022-06-15,197.0
2022-06-16,222.0
2022-06-17,187.0
2022-06-18,221.0
2022-06-19,233.0
2022-06-20,225.0
2022-06-21,228.0
2022-06-22,200.0
2022-06-23,200.0
2022-06-24,209.0
2022-06-25,242.0
2022-06-26,242.0
2022-06-27,233.0
2022-06-28,224.0
2022-06-29,213.0
2022-06-30,200.0
2022-07-01,220.5
2022-07-02,241.0
2022-07-03,232.0
2022-07-04,233.0
2022-07-05,191.0
2022-07-06,202.0
2022-07-07,184.0
2022-07-08,197.0
2022-07-09,226.0
2022-07-10,240.0
2022-07-11,241.0
2022-07-12,233.0
2022-07-13,208.0
2022-07-14,201.0
2022-07-15,154.0
2022-07-16,64.8
2022-07-17,236.0
2022-07-18,237.0
2022-07-19,226.0
2022-07-20,207.0
2022-07-21,188.0
2022-07-22,234.0
2022-07-23,230.0
2022-07-24,689.0
2022-07-25,239.0
2022-07-26,228.0
2022-07-27,195.0
2022-07-28,195.0
2022-07-29,205.0
2022-07-30,228.0
2022-07-31,246.0
2022-08-01,238.0
2022-08-02,208.0
2022-08-03,199.0
2022-08-04,220.0
2022-08-05,214.0
2022-08-06,225.0
2022-08-07,226.0
2022-08-08,242.0
2022-08-09,211.0
2022-08-10,201.5
2022-08-11,192.0
2022-08-12,195.0
2022-08-13,233.0
2022-08-14,217.0
2022-08-15,230.0
2022-08-16,209.0
2022-08-17,190.0
2022-08-18,183.0
2022-08-19,176.0
2022-08-20,205.5
2022-08-21,235.0
2022-08-22,245.0
2022-08-23,235.0
2022-08-24,606.0
2022-08-25,211.0
2022-08-26,197.0
2022-08-27,229.0
2022-08-28,239.0
2022-08-29,249.0
2022-08-30,235.0
2022-08-31,213.0
2022-09-01,181.0
2022-09-02,207.0
2022-09-03,216.0
2022-09-04,250.0
2022-09-05,214.0
2022-09-06,211.0
2022-09-07,216.0
2022-09-08,225.0
2022-09-09,214.0
2022-09-10,212.0
2022-09-11,217.0
2022-09-12,225.0
2022-09-13,233.0
2022-09-14,221.0
2022-09-15,200.0
2022-09-16,204.0
2022-09-17,268.0
2022-09-18,245.0
2022-09-19,248.0
2022-09-20,70.5
2022-09-21,205.0
2022-09-22,215.0
2022-09-23,200.0
2022-09-24,236.0
2022-09-25,254.0
2022-09-26,272.0
2022-09-27,235.0
2022-09-28,198.0
2022-09-29,182.0
2022-09-30,229.0
2022-10-01,220.0
2022-10-02,231.0
2022-10-03,247.0
2022-10-04,262.0
2022-10-05,198.0
2022-10-06,199.5
2022-10-07,201.0
2022-10-08,213.33333333333334
2022-10-09,225.66666666666666
2022-10-10,238.0
2022-10-11,240.0
2022-10-12,218.0
2022-10-13,199.0
2022-10-14,190.0
2022-10-15,256.0
2022-10-16,263.0
2022-10-17,270.0
2022-10-18,235.0
2022-10-19,237.0
2022-10-20,227.0
2022-10-21,220.0
2022-10-22,213.0
2022-10-23,275.0
2022-10-24,299.0
2022-10-25,262.0
2022-10-26,235.0
2022-10-27,230.0
2022-10-28,235.0
2022-10-29,235.0
2022-10-30,260.0
2022-10-31,286.0
2022-11-01,272.0
2022-11-02,258.0
2022-11-03,213.0
2022-11-04,241.0
2022-11-05,258.0
2022-11-06,275.0
2022-11-07,301.0
2022-11-08,279.0
2022-11-09,229.0
2022-11-10,239.0
2022-11-11,256.0
2022-11-12,258.0
2022-11-13,280.0
2022-11-14,280.0
2022-11-15,275.0
2022-11-16,261.0
2022-11-17,223.0
2022-11-18,222.0
2022-11-19,261.0
2022-11-20,270.0
2022-11-21,306.0
2022-11-22,276.0
2022-11-23,232.0
2022-11-24,238.0
2022-11-25,247.0
2022-11-26,281.0
2022-11-27,297.0
2022-11-28,290.0
2022-11-29,283.0
2022-11-30,265.0
2022-12-01,249.0
2022-12-02,253.0
2022-12-03,285.0
2022-12-04,316.0
2022-12-05,335.0
2022-12-06,276.0
2022-12-07,266.0
2022-12-08,252.0
2022-12-09,280.0
2022-12-10,286.0
2022-12-11,288.0
2022-12-12,325.0
2022-12-13,308.0
2022-12-14,285.0
2022-12-15,252.0
2022-12-16,300.0
2022-12-17,295.0
2022-12-18,323.0
2022-12-19,320.0
2022-12-20,304.0
2022-12-21,273.0
2022-12-22,271.0
2022-12-23,269.0
2022-12-24,288.0
2022-12-25,307.0
2022-12-26,326.0
2022-12-27,318.5
2022-12-28,311.0
2022-12-29,279.0
2022-12-30,303.0
2022-12-31,304.0
2023-01-01,346.0
2023-01-02,334.0
2023-01-03,322.0
2023-01-04,317.0
2023-01-05,297.0
2023-01-06,308.5
2023-01-07,320.0
2023-01-08,372.0
2023-01-09,365.0
2023-01-10,329.0
2023-01-11,330.0
2023-01-12,297.0
2023-01-13,317.0
2023-01-14,344.0
2023-01-15,349.0
2023-01-16,385.0
2023-01-17,342.0
2023-01-18,310.0
2023-01-19,313.0
2023-01-20,316.0
2023-01-21,350.0
2023-01-22,364.0
2023-01-23,394.0
2023-01-24,370.0
2023-01-25,353.0
2023-01-26,336.0
2023-01-27,348.0
2023-01-28,356.0
2023-01-29,382.0
2023-01-30,366.0
2023-01-31,370.0
2023-02-01,344.0
2023-02-02,335.0
2023-02-03,337.0
2023-02-04,371.0
2023-02-05,418.0
2023-02-06,398.0
2023-02-07,378.0
2023-02-08,338.0
2023-02-09,340.0
2023-02-10,363.0
2023-02-11,350.0
2023-02-12,394.0
2023-02-13,413.0
2023-02-14,408.0
2023-02-15,372.0
2023-02-16,354.0
2023-02-17,353.0
2023-02-18,392.0
2023-02-19,428.0
2023-02-20,396.0
2023-02-21,414.0
2023-02-22,373.0
2023-02-23,349.0
2023-02-24,328.0
2023-02-25,372.0
2023-02-26,447.0
2023-02-27,125.7
2023-02-28,396.0
2023-03-01,375.0
2023-03-02,353.0
2023-03-03,374.0
2023-03-04,424.0
2023-03-05,421.0
2023-03-06,440.0
2023-03-07,402.0
2023-03-08,412.0
2023-03-09,374.0
2023-03-10,363.0
2023-03-11,422.0
2023-03-12,455.0
2023-03-13,447.0
2023-03-14,435.0
2023-03-15,423.0
2023-03-16,382.0
2023-03-17,403.0
2023-03-18,406.0
2023-03-19,438.0
2023-03-20,453.0
2023-03-21,449.0
2023-03-22,404.0
2023-03-23,364.0
2023-03-24,395.0
2023-03-25,423.0
2023-03-26,451.0
2023-03-27,429.3333333333333
2023-03-28,407.6666666666667
2023-03-29,386.0
2023-03-30,378.0
2023-03-31,391.0
2023-04-01,427.0
2023-04-02,457.0
2023-04-03,487.0
2023-04-04,444.0
2023-04-05,427.0
2023-04-06,391.0
2023-04-07,421.0
2023-04-08,401.0
2023-04-09,450.0
2023-04-10,482.0
2023-04-11,444.0
2023-04-12,429.0
2023-04-13,401.0
2023-04-14,417.0
2023-04-15,442.0
2023-04-16,473.0
2023-04-17,493.0
2023-04-18,465.0
2023-04-19,433.0
2023-04-20,398.0
2023-04-21,411.5
2023-04-22,425.0
2023-04-23,476.0
2023-04-24,436.0
2023-04-25,420.5
2023-04-26,405.0
2023-04-27,395.0
2023-04-28,367.0
2023-04-29,456.0
2023-04-30,476.0
2023-05-01,504.0
2023-05-02,470.0
2023-05-03,451.5
2023-05-04,433.0
2023-05-05,399.0
2023-05-06,415.0
2023-05-07,465.0
2023-05-08,463.0
2023-05-09,451.0
2023-05-10,405.0
2023-05-11,410.0
2023-05-12,415.0
2023-05-13,437.0
2023-05-14,455.5
2023-05-15,474.0
2023-05-16,447.5
2023-05-17,421.0
2023-05-18,395.0
2023-05-19,420.0
2023-05-20,456.0
2023-05-21,488.0
2023-05-22,461.0
2023-05-23,446.0
2023-05-24,394.0
2023-05-25,394.0
2023-05-26,411.0
2023-05-27,434.0
2023-05-28,496.0
2023-05-29,468.0
2023-05-30,436.0
2023-05-31,426.0
2023-06-01,299.0
2023-06-02,310.0
2023-06-03,330.0
2023-06-04,352.0
2023-06-05,323.0
2023-06-06,327.0
2023-06-07,308.0
2023-06-08,289.0
2023-06-09,293.0
2023-06-10,330.0
2023-06-11,356.0
2023-06-12,336.0
2023-06-13,346.0
2023-06-14,318.0
2023-06-15,299.0
2023-06-16,276.0
2023-06-17,328.0
2023-06-18,346.0
2023-06-19,365.0
2023-06-20,360.0
2023-06-21,330.0
2023-06-22,312.5
2023-06-23,295.0
2023-06-24,328.0
2023-06-25,326.0
2023-06-26,327.0
2023-06-27,324.5
2023-06-28,322.0
2023-06-29,281.0
2023-06-30,314.0
2023-07-01,315.0
2023-07-02,316.0
2023-07-03,344.0
2023-07-04,342.0
2023-07-05,300.0
2023-07-06,282.0
2023-07-07,287.0
2023-07-08,287.0
2023-07-09,355.0
2023-07-10,333.0
2023-07-11,342.0
2023-07-12,297.0
2023-07-13,296.0
2023-07-14,291.0
2023-07-15,309.0
2023-07-16,450.0
2023-07-17,432.0
2023-07-18,417.6666666666667
2023-07-19,403.3333333333333
2023-07-20,389.0
2023-07-21,362.0
2023-07-22,417.0
2023-07-23,447.0
2023-07-24,463.0
2023-07-25,428.0
2023-07-26,385.0
2023-07-27,385.0
2023-07-28,376.0
2023-07-29,425.0
2023-07-30,454.0
2023-07-31,443.0
2023-08-01,421.0
2023-08-02,414.0
2023-08-03,364.0
2023-08-04,358.0
2023-08-05,404.5
2023-08-06,451.0
2023-08-07,447.0
2023-08-08,409.0
2023-08-09,392.0
2023-08-10,360.0
2023-08-11,341.0
2023-08-12,409.0
2023-08-13,454.0
2023-08-14,481.0
2023-08-15,419.0
2023-08-16,383.0
2023-08-17,379.0
2023-08-18,366.0
2023-08-19,402.0
2023-08-20,423.0
2023-08-21,420.0
2023-08-22,430.0
2023-08-23,358.0
2023-08-24,370.0
2023-08-25,349.0
2023-08-26,400.0
2023-08-27,425.0
2023-08-28,457.0
2023-08-29,419.0
2023-08-30,405.0
2023-08-31,335.0
2023-09-01,366.0
2023-09-02,395.0
2023-09-03,429.0
2023-09-04,463.0
2023-09-05,423.0
2023-09-06,358.0
2023-09-07,358.0
2023-09-08,352.0
2023-09-09,366.25
2023-09-10,380.5
2023-09-11,394.75
2023-09-12,409.0
2023-09-13,375.0
2023-09-14,364.0
2023-09-15,368.0
2023-09-16,392.0
2023-09-17,427.0
2023-09-18,423.0
2023-09-19,404.0
2023-09-20,366.0
2023-09-21,349.0
2023-09-22,390.0
2023-09-23,386.0
2023-09-24,429.0
2023-09-25,412.0
2023-09-26,427.0
2023-09-27,354.0
2023-09-28,339.0
2023-09-29,378.0
2023-09-30,368.0
2023-10-01,438.0
2023-10-02,458.0
2023-10-03,444.0
2023-10-04,367.0
2023-10-05,346.0
2023-10-06,392.0
2023-10-07,402.0
2023-10-08,128.7
2023-10-09,439.0
2023-10-10,410.0
2023-10-11,378.0
2023-10-12,376.0
2023-10-13,383.0
2023-10-14,390.0
2023-10-15,449.0
2023-10-16,449.0
2023-10-17,418.0
2023-10-18,387.0
2023-10-19,370.0
2023-10-20,372.0
2023-10-21,380.0
2023-10-22,452.0
2023-10-23,443.0
2023-10-24,448.0
2023-10-25,385.0
2023-10-26,361.0
2023-10-27,380.0
2023-10-28,418.0
2023-10-29,456.0
2023-10-30,494.0
2023-10-31,461.0
2023-11-01,428.0
2023-11-02,374.0
2023-11-03,366.0
2023-11-04,445.0
2023-11-05,461.5
2023-11-06,478.0
2023-11-07,461.0
2023-11-08,387.0
2023-11-09,410.0
2023-11-10,409.0
2023-11-11,449.0
2023-11-12,489.0
2023-11-13,476.0
2023-11-14,463.0
2023-11-15,445.0
2023-11-16,427.0
2023-11-17,409.0
2023-11-18,451.0
2023-11-19,475.5
2023-11-20,500.0
2023-11-21,453.0
2023-11-22,406.0
2023-11-23,402.0
2023-11-24,415.0
2023-11-25,454.0
2023-11-26,473.0
2023-11-27,311.2
2023-11-28,149.4
2023-11-29,428.0
2023-11-30,434.0
2023-12-01,440.0
2023-12-02,467.0
2023-12-03,494.0
2023-12-04,544.0
2023-12-05,499.0
2023-12-06,448.0
2023-12-07,437.0
2023-12-08,461.0
2023-12-09,471.0
2023-12-10,530.0
2023-12-11,689.0
2023-12-12,689.0
2023-12-13,455.0
2023-12-14,429.0
2023-12-15,447.0
2023-12-16,488.0
2023-12-17,537.0
2023-12-18,532.0
2023-12-19,509.0
2023-12-20,480.0
2023-12-21,452.0
2023-12-22,475.0
2023-12-23,510.0
2023-12-24,557.0
2023-12-25,541.0
2023-12-26,526.0
2023-12-27,516.0
2023-12-28,468.0
2023-12-29,486.0
2023-12-30,521.0
2023-12-31,566.0
